m1,m10,m100,m1000,m1002,m1003,m1004,m1005,m1006,m1007,m1008,m1009,m101,m1010,m1011,m1012,m1013,m1014,m1015,m1016,m1017,m1018,m1019,m102,m1020,m1021,m1022,m1023,m1024,m1025,m1026,m1027,m1028,m1029,m103,m1030,m1031,m1032,m1033,m1034,m1035,m1036,m1037,m1038,m1039,m104,m1040,m1041,m1042,m1043,m1044,m1046,m1047,m1049,m105,m1050,m1051,m1053,m1054,m1055,m1056,m1057,m1058,m1059,m106,m1060,m1061,m1062,m1063,m1064,m1066,m1067,m1068,m1069,m107,m1070,m1071,m1073,m1076,m1077,m1078,m1079,m108,m1080,m1081,m1082,m1083,m1084,m1085,m1086,m1087,m1088,m1089,m1090,m1091,m1092,m1093,m1094,m1095,m1096
,0.4548806947017748,0.33372174027249024,0.7500088001814458,0.28381322606066905,0.29622920885319326,0.19165999921525084,0.248200531436857,0.2553811428655434,0.36163330367900604,0.3451175948095276,0.32303517932496895,0.4377199495325036,0.39927622974464677,0.22598210852076345,0.5639110113077207,0.47881834934574746,0.3452204643149136,0.45305701605714754,0.3480896696640404,0.4074158916386173,0.33302388431011143,0.4680562824731935,0.17625382088093872,0.39956358406987313,0.2737768029654596,0.5356136179044939,0.6381136274800918,0.36318913332883296,0.4702521976739302,0.4118505284284772,0.3766305322300638,0.6076688968781017,0.5428232781845648,0.32041442771790174,0.2687646451109232,0.4115726844695019,0.47929625522809,0.42451527440579784,0.48108187359208227,0.5770213932509439,0.6505247554458206,0.2547311540389499,0.24790204106933034,,0.4210406532380185,,0.5155533885325586,0.4795049115078113,0.2813882477851367,0.4848133770108629,0.4561372357673084,0.42919701645420427,0.3817118633164952,0.3480341652022193,0.49285137413305036,0.48691127247696875,0.3857898920469888,0.5627104316017084,0.2844876558371786,0.4280017485160116,0.47613935396070367,0.28219885484409335,0.3990977730209139,0.7052469650684206,0.5460659834473847,0.38354057765564475,,0.3412121477450082,0.28265292114894147,0.5925823896520462,0.4207710629743937,0.6991261622561437,0.5588275478728146,0.33725357901875874,,0.7033674241123686,0.545504276197019,0.3628558291530306,0.5301593935051239,0.4641580851562653,0.5944867877053692,0.2697575996240733,0.550634323227778,0.42230302022959665,0.48382173072174584,0.4388093257688843,0.607549050936994,0.495554381425895,0.6616138761335124,0.2598974583057778,0.3788248017846894,0.5153789416095224,0.579349830516899,0.2927854113031642,0.4109747331835506,0.33126990500528275,0.44171594435961004,0.49775402912923816,0.5098754787645361
0.4548806947017748,,0.5570594740297056,0.4835592292490776,,0.6639651488173955,0.49996955587582975,0.5051420640887477,0.7206844516169799,0.5434125880494426,0.49565035446689404,0.40668330273650916,0.43414208099975937,0.5405294584198564,0.6200394648402776,0.4359762197533347,0.4490278743292886,0.5114256009293162,0.404873545654173,0.49722925514671734,0.44668570040005506,0.502760824929285,0.4335303629874424,0.575030748461087,0.5162885192834455,0.49565959215175365,0.46448007327677965,0.3995585062332013,0.46340963747754504,0.47167416950638485,0.07415271467260232,0.5693407132092193,0.44508923033646874,0.434156572356892,0.3635762521468173,0.43547494549467697,0.4907769944347581,0.4375542706341309,0.38453450106325515,0.34929684966315444,0.41631781764114184,0.48753243011724134,0.5627124957069115,0.7265110271152254,,0.5165171173387988,,0.4423446877918355,0.5697369151744096,0.5046607242843297,0.2373279051489271,0.5157966712511273,0.48388701886229823,0.5259800370704921,0.4861473371782168,0.5257061045407627,0.5015957092300455,0.5897243471353267,0.3936736921578691,0.6331726351749438,0.42014606097734286,0.3689261160824585,0.6486628462985699,0.4306177787416558,,0.37906572292528223,0.5523416288199245,,0.2789795855937855,0.4695080868529255,0.3461289448045036,0.12538552322795865,0.423946439052385,0.38821280357713195,0.4917786164698553,,,0.426853024752602,0.3571680144490431,0.4303458058756401,0.4285202887756145,0.4631624991262721,0.08872614634829828,0.4680631295051164,0.4233373372160892,0.4588342042491673,0.4496217618847118,0.38883789636424027,0.31630785410533135,0.36300825077008536,0.1937777046766998,0.5481604392748142,0.3848494042972641,0.392330287277323,0.566697902513689,0.5870120147120794,0.540164774253765,0.4472353078412321,0.4033551855340447,0.30101905741127283
0.33372174027249024,0.5570594740297056,,0.46562614922304435,,0.8360012863418684,0.6756394355120129,0.5934215366149637,0.8215901581096479,0.5251976620336996,0.8505913783713637,0.5478517381486046,0.5169550448344626,0.4774900552465036,0.41648615957560997,0.24853908490435,0.537159277130066,0.44990045293502057,0.6476719683225804,0.6855465081692267,0.44707300249540505,0.5557788567222216,0.2847086672831275,0.7172402546806653,0.7110324651472214,0.8043044182901069,0.3369610205394189,0.3970398574126176,0.7491423234533954,0.31637684738535177,,0.6393816161487115,0.2937573954696395,0.4652038748706598,0.5276737777553332,0.7304328261942333,0.3248427097322002,0.3533497277791078,0.6146219830389694,0.34757389620402396,0.2894002576588773,0.28391255809383387,0.6860537967636623,0.6439812003420062,,0.6467019253237172,,0.3658531910614429,0.6256925790735761,0.5823004482474485,0.5701995846090282,0.7406214030391465,0.5031640331778253,0.6988770006092699,0.5089472395271795,0.5204902049668109,0.5409593125388775,0.40782992743276336,0.6261434305725829,0.7610479439549974,0.19416100918811102,0.4890005820899563,,0.5580750174043321,,0.3473116627734233,0.5150428129280209,,0.6332461895323032,0.6582956124014121,0.19071500102116723,,0.3595613775137782,0.2934480110536297,0.6588695528738828,,,0.42377342708666577,,0.30670085115447343,0.20305136595569578,0.3302294120029807,,0.2738072282975135,0.5384917559600473,0.5455100955268608,0.31843287817436694,0.25318060267394843,0.912120016299011,0.2858789487601342,,0.6896219795991092,0.273326980634659,0.2684468422474152,0.7439555217583129,0.5174944321493584,0.5508194775340675,0.48041591370122894,0.3793765944637554,0.36505263249874553
0.7500088001814458,0.4835592292490776,0.46562614922304435,,,0.19337887330856607,,,,0.7848277675965656,,0.6553079982235888,0.07395425757609386,0.21834259465695766,,0.5342124879628708,0.22239278422219316,,0.9041177408041563,0.8755086553558049,0.396676111240637,,0.388139206196852,0.34029864236838375,0.8343755934568643,0.9680977842461058,0.7634978282837435,,0.727337767894125,1.0,,0.17473602792886261,0.43792678165175036,0.2637315136755962,0.7729996312781943,0.37761478023726797,0.322686518660937,0.692971406093356,0.8360370906670372,0.5139842123006343,0.436784648415126,0.29739865558178025,0.5426718698807798,,,0.4212877352183049,,0.45871725692609144,0.5107243062761706,,,,0.35923435263060427,0.6272411582028051,0.11044766284263713,0.3973979725296678,0.3984882920423497,,,,,0.38957769806671405,,0.4528047981651392,,0.4635661631226844,0.41573242053964493,,,0.9685574876613467,,,,,0.7757608721357341,,,0.5207175766917939,,0.21623612949997428,0.23170802725367212,0.35367907532557374,,0.4356357155662829,,,,0.5667947582036678,,0.5803325095424321,,0.4986403790673209,0.26730766018085517,0.22067243735987607,0.4773335001717931,0.49896586057011616,0.5823084653617774,0.6380289887389481,0.2852976203528329,
0.28381322606066905,,,,,,,,,,,,0.6158154671225111,,,,,,,,,,,,,,0.4687587282591405,,,,,,0.5128598956557344,,,,,,,,0.9051346074867733,0.7542695950701588,,,,,,0.601611691262888,,,,,,,0.5379315000522746,,,,,,,0.7444275000194168,,,0.9292168499401144,0.6754008513037286,,,,,,,,,,,,0.4687587282591405,,,,0.746839939813648,,,,,,0.25666225373595986,,,,0.8186557867839774,0.2688197058264865,,,0.4438538020556895,0.18503198040887753,0.3007174337731845,,
0.29622920885319326,0.6639651488173955,0.8360012863418684,0.19337887330856607,,,0.6350437731351739,0.5293355898073251,0.7011931965199035,0.5850388576734,0.47853788618627485,0.5846181316697332,0.5678847416614722,0.6207456589634226,0.7272509993841104,0.3159724153530671,0.5456344853665427,0.6443518388777485,0.5594282825441906,0.7891266513364186,0.5006062243759702,0.5552557843144862,0.5163255422726734,0.7938045323272018,0.5976448561061655,0.7122973367263097,0.444065099219208,0.1936481293098008,0.7171835103964438,0.40987740349092866,,0.6349763584218162,0.3275542216612687,0.35530519744364164,0.6520912455581287,0.5805674981048541,0.6348895424138713,0.3814954344063556,0.35802678017213685,0.28881448337410015,0.37061602921877035,0.29652890026131595,0.713516716212449,0.21636412509188863,,0.5349728928734468,,0.28158229579768757,0.5859637553167678,0.76677017213914,0.4277519016658683,0.5305728260477028,0.5534842175175999,0.666526981953928,0.675523077643198,0.4424063567221678,0.5025788699392115,0.42811065863864106,0.331845272795824,0.6725769163477602,0.6514240451535143,0.32951129371822474,,0.5379967526357895,,0.3054732027141175,0.5711364683961994,,0.5078821736621605,0.6050149200893989,,,0.20655960794448536,0.46172016071510363,0.5911366722029977,,,0.3889139250246056,0.0005229276532876526,0.35773209717690946,0.3149779918659382,0.3677146979294782,,0.3592911327673409,0.3881280636412997,0.4960692246362028,0.3464079908925237,0.18796603514540744,0.4372294465443374,0.24495578427585996,0.0487921424009205,0.6646022634761247,0.18730748092655713,0.2151910552028326,0.7815466792963932,0.5241839471037839,0.5444388731792466,0.5319270460422583,0.29906533198771024,0.3306319454784762
0.19165999921525084,0.49996955587582975,0.6756394355120129,,,0.6350437731351739,,0.8922074105206363,0.8158050599987365,0.7061625224935527,0.3268615969561182,0.6827480077927639,0.280523153035517,0.6132739700692285,0.6135062413723031,0.22695885616025047,0.631006076863057,0.6625221296002864,0.7716100918520483,0.6647308493125186,0.2970959570751692,0.5211695768006036,0.4240636376079827,0.49008051268791086,0.6782633525018636,0.8649476137930261,0.328772580107639,0.08706224211473157,0.47491280683230946,0.628578818659735,,0.7169426563785448,0.256241673738925,0.1965640306312274,0.6851515262352124,0.6883878992275407,0.5051664962806269,0.2660379672259837,0.3133645255222819,0.33712473807431587,0.33116077695312096,0.219965129426956,0.7408922847262647,,,0.5864086115386868,,0.4711582208586351,0.6059053385563238,0.8995819524942963,0.3612558293295725,0.0886522450549892,0.44993411805977435,0.6320180191901845,0.7003125678886033,0.36553753392377847,0.4204636769159106,0.9258742900639239,0.8158383216085702,0.9006912393902687,0.9561242899317971,0.706380788541376,,0.40468580802677645,,0.24160063537068643,0.5934811849655708,,0.6033163510366826,0.7896464741406805,0.10102646413626154,,,0.8837323007643655,0.541814327393783,,,0.25332285414575606,,0.37881161365209415,0.45204726155191854,0.19862882292259842,,0.29839703235170556,0.28473850719523813,0.39046781878376,0.18828275609612877,0.2589992614219722,0.2758613549403631,0.4688611634785607,0.5411230094678554,0.7546507933596257,0.20907833098492845,0.18432549608482812,0.7658476030349901,0.542007104709591,0.5570091492351704,0.39537888649232344,0.24775016323613114,0.544406859519912
0.248200531436857,0.5051420640887477,0.5934215366149637,,,0.5293355898073251,0.8922074105206363,,0.6922011787857685,0.6964812728525619,0.7933758290978064,0.6961080467632017,0.24568660551316074,0.6931433681120499,0.7423325030911847,0.21970501501821516,0.6088308377280836,0.5016170919796686,0.6363708896472875,0.6739421773581336,0.4930116041330579,0.5994650480326593,0.29592863598638586,0.8324243932758919,0.6084733143821506,0.8072170385334241,0.3359082259516034,0.2594161175361115,0.5979436775517702,0.3426971854447711,,0.5333052915737632,0.32610707529857197,0.40306704400186044,0.38288574228479855,0.6163198200808019,0.579762013485706,0.30464114891898025,0.3447007647234044,0.4439482522973591,0.47145374325992206,0.2425259158546565,0.6524009726883186,,,0.43015772127139007,,0.541397596240858,0.5755515675197211,0.7496101339521687,0.7377167229862607,0.42807902542387216,0.6042373538964898,0.6096811821167968,0.7101153445406813,0.05610185138607143,0.4434257768106431,,0.46932995183942633,0.9620676719098928,0.32782067670083725,0.17299901785259936,,0.5062354657604319,,0.4001235936137378,0.31397838982725607,,,0.7693694940897162,0.22095310253385902,,,0.5738308142379679,0.5471830008549515,,,0.33849886236923155,,0.21474596276569663,0.3241596064252382,0.2617796777048956,,0.3090783158773238,0.34831119535606286,0.18627185197450902,0.7275341442301093,0.236614411060784,0.29609066932539896,0.23966266158212157,,0.5885261970971292,0.18834943930596748,0.19997861689537377,0.6628852772452993,0.5175340881275908,0.5026415788393367,0.40328500569018016,0.33697587442021093,0.29120730074917456
0.2553811428655434,0.7206844516169799,0.8215901581096479,,,0.7011931965199035,0.8158050599987365,0.6922011787857685,,0.6187995458744127,0.6420290306547846,0.49011896221947704,0.3944686701828624,0.6315982230622272,0.4959655895284259,0.20816192306119707,0.47370023609582534,0.3997766406948645,0.40419735554420705,0.6925732213165104,0.4829402908982622,0.6532767048914685,0.5496512800935808,0.8930056342602186,0.7481813626379559,0.6790237900567111,0.3518891575185988,0.18344283860120175,0.4730677767656983,0.5142977326327602,,0.5426108292875668,0.261397508949597,0.18533532357519156,0.9548176315898085,0.6519717744919556,0.551919667242766,0.3009850829700558,0.44607730230422044,0.46504566669384007,0.35800044359888206,0.3260885330850861,0.766499002652546,,,0.5961611870421998,,0.3186051771235773,0.5954521604018891,0.6290651717214633,0.4102376633452242,0.42826658920167654,0.5595794548382984,0.7283908980908289,0.5780355713899031,0.09408701951443582,0.6758477815421764,,0.460754147279987,0.8476611987370379,0.39662617360281033,0.20595239608266502,,0.41337710978413295,,0.37123890228767675,0.6203783406473885,,,0.569429942924067,,,0.06436786829002517,0.16932390833272554,0.7604794633751002,,,0.46590751072499714,,0.17056332317317946,0.41439603471717373,0.2597248514218534,,0.28185271809039114,0.302199968792525,0.6006616176567886,0.629091754069246,0.29244217974944586,0.23518092945483432,0.4864474083968508,,0.6505151663170204,0.2987769014110465,0.2912975994938778,0.7721164121647148,0.6178074054698685,0.5403924915926962,0.34331160589713616,0.30035418480310294,0.419283461304506
0.36163330367900604,0.5434125880494426,0.5251976620336996,0.7848277675965656,,0.5850388576734,0.7061625224935527,0.6964812728525619,0.6187995458744127,,0.6652749164980141,0.6616587120023448,0.2958776073790055,0.6877799656195321,0.8221443570670193,0.4104003821697847,0.5143172987725161,0.5207536485688201,0.5102752696092904,0.7435815704438509,0.5119133295383991,0.5779520622323409,0.3510760129763353,0.7661755580699332,0.5952198304825548,0.6073991849067635,0.38608820758418516,0.3577964039482958,0.751634301957806,0.466153937595203,,0.6428291092962004,0.35777138665385105,0.44614661747161605,0.8442664834333942,0.7000114099513761,0.5283651894700571,0.49293375558713265,0.4410911029070098,0.28362092716146337,0.47691438468543,0.3555268581709248,0.6827555885074774,,,0.534220901845994,,0.4945070741643697,0.4317360274927655,0.6646175615279474,0.658704815413008,0.12150320518690766,0.42484404429939393,0.5083836114475754,0.5878223557594804,0.332407213157106,0.6063276449868138,0.6953214884985077,0.5929288322741658,0.2018109168587699,0.25504262010203155,0.3459642647560034,,0.5424857681690409,,0.4513506168971911,0.4598733329670797,,0.8655095461905082,0.6407423820614845,0.68683231459665,0.7152549065352682,0.09241449553887604,0.372127280496641,0.5905354365481499,,,0.3185635305376111,,0.33176000015802,0.26066439095607846,0.2847513040468982,0.04461107585451224,0.26135293189407094,0.4985993599015285,0.47238577864405085,0.4018579960453616,0.2677172265101714,0.3086379282390106,0.2933544545693454,0.3309962954019069,0.5765263481696687,0.34192417852067664,0.3205012850827721,0.682792245832516,0.5165926009369641,0.5011544232407681,0.48592755604690446,0.4076050927354614,0.4390471068672868
